,total_bill,tip,sex,smoker,day,time,size,tip_%_bill,tip_per_person
0,140694.19,8363.81,Female,No,Sun,Dinner,2,5.94467333725721,4181.905
1,85625.54,13746.460000000001,Male,No,Sun,Dinner,3,16.054158607350097,4582.153333333334
2,173983.81,28983.5,Male,No,Sun,Dinner,3,16.658733936220848,9661.166666666666
3,196094.08000000002,27410.109999999997,Male,No,Sun,Dinner,2,13.978040540540537,13705.054999999998
4,203629.79,29894.41,Female,No,Sun,Dinner,4,14.680764538430255,7473.6025
5,209426.49,39003.51,Male,No,Sun,Dinner,4,18.62396204033215,9750.8775
6,72624.37,16562.0,Male,No,Sun,Dinner,2,22.80501710376283,8281.0
7,222593.28,25836.72,Male,No,Sun,Dinner,4,11.607142857142858,6459.18
8,124546.23999999999,16230.759999999998,Male,No,Sun,Dinner,2,13.03191489361702,8115.379999999999
9,122393.18000000001,26747.63,Male,No,Sun,Dinner,2,21.853856562922868,13373.815
10,85045.87,14160.509999999998,Male,No,Sun,Dinner,2,16.65043816942551,7080.254999999999
11,291988.06,41405.0,Female,No,Sun,Dinner,4,14.180374361883153,10351.25
12,127693.02,13001.17,Male,No,Sun,Dinner,2,10.181582360570687,6500.585
13,152618.83,24843.0,Male,No,Sun,Dinner,4,16.277807921866522,6210.75
14,122807.23,25008.62,Female,No,Sun,Dinner,2,20.36412677006069,12504.31
15,178703.97999999998,32461.519999999997,Male,No,Sun,Dinner,2,18.164967562557923,16230.759999999998
16,85542.73,13829.27,Female,No,Sun,Dinner,3,16.16650532429816,4609.756666666667
17,134897.49,30722.510000000002,Male,No,Sun,Dinner,3,22.77470841006753,10240.836666666668
18,140528.57,28983.5,Female,No,Sun,Dinner,3,20.624631703005303,9661.166666666666
19,171002.65,27741.350000000002,Male,No,Sat,Dinner,3,16.222760290556902,9247.116666666667
20,148395.52000000002,33786.48,Male,No,Sat,Dinner,2,22.767857142857142,16893.24
21,168021.49,22772.75,Female,No,Sat,Dinner,2,13.553474618038443,11386.375
22,130591.37,18466.63,Female,No,Sat,Dinner,2,14.140773620798987,9233.315
23,326437.02,62769.979999999996,Male,No,Sat,Dinner,4,19.228817858954844,15692.494999999999
24,164129.42,26333.579999999998,Male,No,Sat,Dinner,2,16.044399596367306,13166.789999999999
25,147484.61,19377.54,Male,No,Sat,Dinner,4,13.138686131386862,4844.385
26,110716.96999999999,16562.0,Male,No,Sat,Dinner,2,14.958863126402395,8281.0
27,105085.89,16562.0,Male,No,Sat,Dinner,2,15.760441292356186,8281.0
28,179697.7,35608.3,Male,No,Sat,Dinner,2,19.81566820276498,17804.15
29,162721.65,24843.0,Female,No,Sat,Dinner,2,15.267175572519085,12421.5
30,79083.55,12007.449999999999,Male,No,Sat,Dinner,2,15.18324607329843,6003.724999999999
31,151956.35,20702.5,Male,No,Sat,Dinner,4,13.623978201634877,5175.625
32,124711.86,24843.0,Female,No,Sat,Dinner,2,19.9203187250996,12421.5
33,171333.89,20288.45,Female,No,Sat,Dinner,4,11.841469308844852,5072.1125
34,147236.18,27078.87,Male,No,Sat,Dinner,2,18.391451068616423,13539.435
35,199240.86000000002,29811.600000000002,Male,No,Sat,Dinner,3,14.962593516209475,9937.2
36,135063.11,16562.0,Male,No,Sat,Dinner,3,12.262415695892091,5520.666666666667
37,140197.33,25422.670000000002,Female,No,Sat,Dinner,3,18.13349084465446,8474.223333333333
38,154771.89,19129.11,Male,No,Sat,Dinner,3,12.359550561797752,6376.37
39,258946.87000000002,41405.0,Male,No,Sat,Dinner,3,15.989766549408378,13801.666666666666
40,132827.24,18549.440000000002,Male,No,Sat,Dinner,3,13.965087281795514,6183.146666666667
41,144586.26,21033.74,Male,No,Sun,Dinner,2,14.547537227949599,10516.87
42,115437.14,25339.859999999997,Male,No,Sun,Dinner,2,21.951219512195117,12669.929999999998
43,80160.08,10930.92,Male,No,Sun,Dinner,2,13.636363636363637,5465.46
44,251742.4,46373.6,Male,No,Sun,Dinner,4,18.42105263157895,11593.4
45,151459.49,24843.0,Male,No,Sun,Dinner,2,16.402405686167306,12421.5
46,184086.63,41405.0,Male,No,Sun,Dinner,2,22.49212775528565,20702.5
47,268304.4,49686.0,Male,No,Sun,Dinner,4,18.518518518518515,12421.5
48,236422.55000000002,16976.05,Male,No,Sun,Dinner,3,7.180385288966725,5658.683333333333
49,149389.24,24843.0,Male,No,Sun,Dinner,2,16.62971175166297,12421.5
50,103843.73999999999,20702.5,Male,No,Sun,Dinner,2,19.936204146730464,10351.25
51,85211.48999999999,21530.6,Female,No,Sun,Dinner,2,25.26724975704568,10765.3
52,288261.61,43061.2,Female,No,Sun,Dinner,4,14.938236139040507,10765.3
53,82313.14,12918.36,Male,No,Sun,Dinner,2,15.694164989939638,6459.18
54,211662.36000000002,35939.54,Male,No,Sun,Dinner,4,16.97965571205008,8984.885
55,161396.69,29066.309999999998,Male,No,Sun,Dinner,2,18.009235505387377,14533.154999999999
56,314760.81,24843.0,Male,Yes,Sat,Dinner,4,7.892659826361484,6210.75
57,218701.21,12421.5,Female,No,Sat,Dinner,2,5.679666792881484,6210.75
58,93078.44,14574.56,Male,Yes,Sat,Dinner,2,15.658362989323843,7287.28
59,399723.87000000005,55731.130000000005,Male,No,Sat,Dinner,4,13.942407292314066,13932.782500000001
60,168021.49,26582.010000000002,Male,Yes,Sat,Dinner,2,15.82060128141942,13291.005000000001
61,114360.61,16562.0,Male,Yes,Sat,Dinner,2,14.48225923244026,8281.0
62,91256.62,16396.38,Male,Yes,Sat,Dinner,2,17.96733212341198,8198.19
63,151459.49,31136.559999999998,Male,Yes,Sat,Dinner,4,20.55768179332969,7784.139999999999
64,145662.79,21861.84,Male,No,Sat,Dinner,3,15.008527572484365,7287.28
65,166282.47999999998,26085.149999999998,Male,No,Sat,Dinner,3,15.687250996015939,8695.05
